^PLATFORM = GPL14
!Platform_title = ce_rosetta
!Platform_geo_accession = GPL14
!Platform_status = Public on Jul 24 2001
!Platform_submission_date = Jul 24 2001
!Platform_last_update_date = May 26 2005
!Platform_technology = spotted DNA/cDNA
!Platform_distribution = non-commercial
!Platform_organism = Caenorhabditis elegans
!Platform_taxid = 6239
!Platform_description = A microarray with 13323 spot features.
!Platform_description = Tip Configuration: Standard 1-tip
!Platform_description = Columns per Sector: 1
!Platform_description = Rows per Sector: 1
!Platform_description = Column Spacing: 1.1
!Platform_description = Row Spacing: 1.1
!Platform_contact_name = ,,Stanford Microarray Database
!Platform_contact_email = array@genome.stanford.edu
!Platform_contact_phone = 650-498-6012
!Platform_contact_department = Stanford University, School of Medicine
!Platform_contact_institute = Stanford Microarray Database (SMD)
!Platform_contact_address = 300 Pasteur Drive
!Platform_contact_city = Stanford
!Platform_contact_state = CA
!Platform_contact_zip/postal_code = 94305
!Platform_contact_country = USA
!Platform_contact_web_link = http://genome-www5.stanford.edu/
!Platform_sample_id = GSM436
!Platform_sample_id = GSM437
!Platform_sample_id = GSM438
!Platform_sample_id = GSM439
!Platform_sample_id = GSM440
!Platform_sample_id = GSM441
!Platform_sample_id = GSM442
!Platform_sample_id = GSM443
!Platform_sample_id = GSM444
!Platform_sample_id = GSM445
!Platform_sample_id = GSM446
!Platform_sample_id = GSM447
!Platform_sample_id = GSM448
!Platform_sample_id = GSM449
!Platform_sample_id = GSM450
!Platform_sample_id = GSM451
!Platform_sample_id = GSM452
!Platform_sample_id = GSM453
!Platform_sample_id = GSM454
!Platform_sample_id = GSM455
!Platform_sample_id = GSM456
!Platform_sample_id = GSM457
!Platform_sample_id = GSM458
!Platform_sample_id = GSM459
!Platform_sample_id = GSM460
!Platform_sample_id = GSM461
!Platform_sample_id = GSM462
!Platform_sample_id = GSM463
!Platform_sample_id = GSM464
!Platform_sample_id = GSM465
!Platform_sample_id = GSM466
!Platform_sample_id = GSM467
!Platform_sample_id = GSM468
!Platform_sample_id = GSM469
!Platform_sample_id = GSM211535
!Platform_sample_id = GSM211537
!Platform_sample_id = GSM211538
!Platform_series_id = GSE5
!Platform_series_id = GSE8520
!Platform_data_row_count = 13323
#ID = 
#ORF = name of spot
#Description = description of spot
#Chromosome = chromosome
#Position = position
#Gene name = gene name
#SECTOR = spot sector grid coordinate
#SECTORROW = spot row grid coordinate
#SECTORCOL = spot column grid coordinate
#PLATE = clone plate identifier
#PROW = clone plate row
#PCOL = clone plate column
#FAILED = 
#IS_CONTAMINATED = 
!platform_table_begin
ID	ORF	Description	Chromosome	Position	Gene name	SECTOR	SECTORROW	SECTORCOL	PLATE	PROW	PCOL	FAILED	IS_CONTAMINATED
4108	ZC317.6	"Protein of unknown function, putative paralog of C. elegans C14C11.1"	5	5406360	ZC317.6	1	1	1	11	L	4	2	U
4109	ZC317.7	Putative paralog of C. elegans C14C11.2 gene product	5	5409339	ZC317.7	1	1	1	11	L	5	0	U
4110	ZC328.2	Protein containing a putative C2H2-type zinc finger domain	1	5717158	ZC328.2	1	1	1	11	L	6	0	U
4111	ZC328.3	"Protein of unknown function, has weak similarity to S. cerevisiae Yhr080p and Yfl042p"	1	5740175	ZC328.3	1	1	1	11	L	7	0	U
4112	ZC328.4	Protein with weak similarity to S. cerevisiae MAD3 (Spindle-assembly checkpoint protein required for cell cycle delay in response to impaired kinetochore function)	1	5738316	ZC328.4	1	1	1	11	L	8	0	U
4113	ZC376.1	Member of the carboxylesterase protein family	5	14124886	ZC376.1	1	1	1	11	L	9	0	U
4114	ZC376.6	Protein of unknown function	5	14135079	ZC376.6	1	1	1	11	L	10	0	U
4115	ZC395.3	Protein with weak similarity to S. cerevisiae ZRC1 (Zinc- and cadmium-resistance protein)	3	4719926	toc-1/ZC395.3	1	1	1	11	L	11	0	U
4116	ZC395.6	Protein with strong similarity to tRNA isopentenyltransferase	3	4709689	ZC395.6	1	1	1	11	L	12	2	U
4117	ZC395.9	Protein of unknown function	3	4715552	ZC395.9	1	1	1	11	L	13	0	U
4118	ZC404.10	"G-protein coupled receptor of unknown function, no homolog found in human or D. melanogaster"	5	6787218	ZC404.10	1	1	1	11	L	14	0	U
4119	ZC404.11	"G-protein coupled receptor of unknown function, has weak similarity to human opioid receptor mu 1"	5	6788906	ZC404.11	1	1	1	11	L	15	0	U
4120	ZC404.3	Protein of unknown function	5	6771985	ZC404.3	1	1	1	11	L	16	0	U
4121	ZC404.8	"Putative RNA-binding protein, has similarity over the N-terminus to C. elegans FOX-1"	5	6770147	ZC404.8	1	1	1	11	L	17	0	U
4122	ZC404.9	"Putative ortholog of human KHS1 protein kinase, a member of the STE20 protein kinase subfamily"	5	6775383	ZC404.9	1	1	1	11	L	18	0	U
4123	ZC410.4	Member of the 4 TM potassium channel protein family	4	8673404	twk-19/ZC410.4	1	1	1	11	L	19	0	U
4124	ZC416.6	Member of the aminopeptidase protein family	4	3585133	ZC416.6	1	1	1	11	L	20	0	U
4125	ZC434.6	Protein required for GLP-1-mediated interactions between cells P2 and ABp; necessary for the development of pharyngeal cells	1	9653241	aph-2/ZC434.6	1	1	1	11	L	21	0	U
4126	ZC443.5	Member of the UDP-glucuronosyltransferase protein family	5	12768380	ZC443.5	1	1	1	11	L	22	0	U
4127	ZC449.3	Serine/threonine protein kinase with strong similarity to human and D. melanogaster MAP kinase kinases (MEK kinases)	X	4763431	ZC449.3	1	1	1	11	L	23	0	U
4128	ZC449.5	Protein with weak similarity to S. cerevisiae CHS5 (Protein required for chitin synthase III activity)	X	4789444	ZC449.5	1	1	1	11	L	24	0	U
4129	ZC455.11	"G-protein coupled receptor of an unnamed subfamily, no homolog found in human or D. melanogaster"	5	12752634	ZC455.11	1	1	1	11	M	1	0	U
4130	ZC455.8	"G-protein coupled receptor of an unnamed subfamily, has weak similarity to human EDG2 G-protein coupled receptor for lysophosphatidic acid"	5	12738257	ZC455.8	1	1	1	11	M	2	0	U
4131	ZC477.1	"Putative paralog of C. elegans T28H11.1, has weak similarity to C. elegans K06A9.1, a putative mucin"	4	6762273	ZC477.1	1	1	1	11	M	3	0	U
4132	ZC477.8	Protein with moderate similarity to C. elegans T28H11.1 gene product	4	6762564	ZC477.8	1	1	1	11	M	4	0	U
4133	ZC487.1	Protein of unknown function	5	6714451	ZC487.1	1	1	1	11	M	5	0	U
4134	ZC487.4					1	1	1	11	M	6	2	U
4135	ZC504.3	Serine/threonine protein kinase with similarity to cyclin-dependent protein kinases	X	10170500	ZC504.3	1	1	1	11	M	7	0	U
4136	ZC504.4	Serine/threonine protein kinase with similarity to human NIK and other members of the STE20 protein kinase subfamily	X	10175701	mig-15/ZC504.4	1	1	1	11	M	8	0	U
4137	ZC506.1	Member of the mannosidase/protein glycosylation protein family	X	9712540	ZC506.1	1	1	1	11	M	9	0	U
4138	ZC506.2	Protein of unknown function	X	9715840	ZC506.2	1	1	1	11	M	10	0	U
4139	ZC506.4	Member of the 7 transmembrane receptor (metabotropic glutamate family) protein family	X	9722133	mgl-1/ZC506.4	1	1	1	11	M	11	0	U
4140	ZC518.2	"Member of the COPII coat protein, Sec24p-like protein family"	4	12151993	ZC518.2	1	1	1	11	M	12	0	U
4141	ZC518.3	"Putative ortholog of S. cerevisiae Ccr4p, component of a transcriptional complex that has both positive and negative effects on transcription"	4	12157008	ZC518.3	1	1	1	11	M	13	0	U
4142	ZC581.1	Serine/threonine protein kinase with similarity to human NIMA-related kinases and D. melanogaster and S. cerevisiae calcium/calmodulin kinases	1	5995805	ZC581.1	1	1	1	11	M	14	0	U
4143	ZC581.3	Protein of unknown function	1	5983690	ZC581.3	1	1	1	11	M	15	0	U
4144	ZC581.7	"Putative tyrosine protein kinase, has similarity to human and D. melanogaster FER (fps/fes-related) protein kinases"	1	5993086	ZC581.7	1	1	1	11	M	16	0	U
4145	ZC581.9	"Protein containing a putative serine-threonine protein kinase domain, has similarity over N-terminal one-third to S. cerevisiae Scy1p, has"	1	5997824	ZC581.9	1	1	1	11	M	17	0	U
4146	ZC64.3	"POU domain homeodomain transcription factor required for gonadal sheath differentiation, has similarity over 495 amino acids to D. melanogaster PDM2 (POU-domain 2) homeodomain transcription factor"	X	3598992	ceh-18/ZC64.3	1	1	1	11	M	18	0	U
4147	ZC8.2	Protein of unknown function	X	4756512	ZC8.2	1	1	1	11	M	19	0	U
4148	ZC8.4	"Putative coiled-coil protein, has similarity to S. cerevisiae ZC8.4 protein, a myosin-like protein"	X	4738005	ZC8.4	1	1	1	11	M	20	0	U
4149	ZC84.1	Member of the EGF-repeat protein family	3	8640404	ZC84.1	1	1	1	11	M	21	0	U
4150	ZC84.3	Protein expressed in some nerve cord cells during the L1 larval stage	3	8627144	ZC84.3	1	1	1	11	M	22	2	U
4151	ZC84.6	Member of the EGF-repeat protein family	3	8633679	ZC84.6	1	1	1	11	M	23	0	U
4152	ZK1005.1	Putative paralog of C. elegans Y75B7B.2	5	1270879	ZK1005.1	1	1	1	11	M	24	0	U
4153	ZK1014.1					1	1	1	11	N	1	0	U
4154	ZK1037.10	"Probable pseudogene, has strong similarity to C.elegans WRT-2, WRT-4, and WRT-8"	5	15259322	wrt-7/ZK1037.10	1	1	1	11	N	2	0	U
4155	ZK1037.2		5	15237165		1	1	1	11	N	3	0	U
4156	ZK1037.3	Member of an uncharacterized protein family	5	15238851	ZK1037.3	1	1	1	11	N	4	0	U
4157	ZK1037.5	Member of the nuclear hormone receptor/Zinc finger protein family	5	15248036	ZK1037.5	1	1	1	11	N	5	0	U
4158	ZK1037.6	Member of an uncharacterized protein family	5	15250015	ZK1037.6	1	1	1	11	N	6	1	U
4159	ZK1053.6	"Protein of unknown function, has moderate similarity to C. elegans T20D4.5"	1	12426114	ZK1053.6	1	1	1	11	N	7	0	U
4160	ZK1055.1	Centromeric protein involved in chromosome segregation	5	6580719	hcp-1/ZK1055.1	1	1	1	11	N	8	0	U
4161	ZK1055.2	"Protein of unknown function, putative paralog of C. elegans T26E4.7"	5	6579002	ZK1055.2	1	1	1	11	N	9	1	U
4162	ZK1055.4	"Protein of unknown function, putative paralog of C. elegans ZK1055.2"	5	6572092	ZK1055.4	1	1	1	11	N	10	0	U
4163	ZK1055.6	Putative paralog of C. elegans ZK1055.7 gene product	5	6585748	ZK1055.6	1	1	1	11	N	11	2	U
4164	ZK1055.7	"Protein of unknown function, putative paralog of C. elegans ZK1055.6"	5	6589269	ZK1055.7	1	1	1	11	N	12	0	U
4165	ZK1058.4	Protein of unknown function	3	3354221	ZK1058.4	1	1	1	11	N	13	1	U
4166	ZK1098.3	"Protein of unknown function, putative paralog of C. elegans ZK1098.8"	3	8972886	ZK1098.3	1	1	1	11	N	14	2	U
4167	ZK1098.4	Member of the initiation factor 2 subunit protein family	3	8983593	ZK1098.4	1	1	1	11	N	15	0	U
4168	ZK1098.6	"Protein of unknown function, has a probable coiled-coil domain"	3	8967626	ZK1098.6	1	1	1	11	N	16	0	U
4169	ZK112.1	Member of the carboxypeptidase protein family	3	7199189	ZK112.1	1	1	1	11	N	17	0	U
4170	ZK112.2	B box zinc finger protein involved in repressing RNA polymerase I and RNA polymerase III to limit cell growth; putative repressor of ribosome synthesis	3	7171794	ncl-1/ZK112.2	1	1	1	11	N	18	0	U
4171	ZK112.7	Cadherin superfamily member required for proper tail morphogenesis	3	7181671	cdh-3/ZK112.7	1	1	1	11	N	19	0	U
4172	ZK1127.10	Member of the cystathionine gamma-lyase protein family	2	7046094	ZK1127.10	1	1	1	11	N	20	0	U
4173	ZK1127.11	Protein required for meiotic recombination	2	7054896	him-14/ZK1127.11	1	1	1	11	N	21	0	U
4174	ZK1127.12	Protein of unknown function	2	7042139	ZK1127.12	1	1	1	11	N	22	0	U
4175	ZK1127.2	Member of the acetyl-CoA synthetase protein family	2	7052398	ZK1127.2	1	1	1	11	N	23	0	U
4176	ZK1127.4	Protein of unknown function	2	7043728	ZK1127.4	1	1	1	11	N	24	0	U
4177	ZK1127.5	Member of the RNA 3'-terminal phosphate cyclase protein family	2	7040728	ZK1127.5	1	1	1	11	O	1	0	U
4178	ZK1127.6	"Possible transcription factor, putative ortholog of H. sapiens putative transcription factor CA150"	2	7032662	ZK1127.6	1	1	1	11	O	2	0	U
4179	ZK1127.7	Member of the topoisomerase II protein family	2	7028181	ZK1127.7	1	1	1	11	O	3	0	U
4180	ZK1127.8	"Protein of unknown function, has strong similarity to C. elegans Y46H3C_14.D"	2	7029759	ZK1127.8	1	1	1	11	O	4	2	U
4181	ZK1127.9	Member of the WWP domain protein family	2	7035819	ZK1127.9	1	1	1	11	O	5	0	U
4182	ZK1151.2	"Putative coiled-coil protein, has strong similarity to D. melanogaster KAK (kakapo, a large cytoskeletal linker protein), has similarity to human and D. melanogaster alpha spectrins,"			ZK1151.2	1	1	1	11	O	6	0	U
4183	ZK1193.1	"Collagen, temporally regulated during the switch between the larval and adult developmental pathways"	X	146626	col-19/col19/ZK1193.1	1	1	1	11	O	7	0	U
4184	ZK1193.3	Protein with moderate similarity to C. elegans F40F4.6	X	142384	ZK1193.3	1	1	1	11	O	8	2	U
4185	ZK1236.1	Member of the elongation factor Tu protein family	3	7869602	ZK1236.1	1	1	1	11	O	9	0	U
4186	ZK1236.3	Protein of unknown function	3	7856490	ZK1236.3	1	1	1	11	O	10	0	U
4187	ZK1236.4	Member of the reverse transcriptase protein family	3	7854898	ZK1236.4	1	1	1	11	O	11	0	U
4188	ZK1240.1	"Putative paralog of C. elegans ZK1240.2, has similarity to human ARFD1, ADP-ribosylation factor domain protein 1"	2	2299624	ZK1240.1	1	1	1	11	O	12	1	U
4189	ZK1240.2	"Protein contains a putative zinc finger, putative paralog of C. elegans F43C11_37.C protein"	2	2293656	ZK1240.2	1	1	1	11	O	13	0	U
4190	ZK1240.3	Member of an uncharacterized protein family	2	2288465	ZK1240.3	1	1	1	11	O	14	0	U
4191	ZK1248.1	Protein with weak similarity to H. sapiens ECE1 (endothelin converting enzyme 1)	2	5831465	ZK1248.1	1	1	1	11	O	15	0	U
4192	ZK1248.10	"Protein of unknown function, has similarity over the C-terminus to a number of human, S. cerevisiae, and C. elegans proteins, including human Rab-GAP/TBC-containing protein"	2	5813309	ZK1248.10	1	1	1	11	O	16	0	U
4193	ZK1248.13	Protein of unknown function	2	5821249	ZK1248.13	1	1	1	11	O	17	0	U
4194	ZK1248.14	"Possible mitochondrial transmembrane GTPase, putative ortholog of H. sapiens Hs.3363 protein"	2	5822762	ZK1248.14	1	1	1	11	O	18	0	U
4195	ZK1248.15	"Protein with weak similarity to C. elegans unc-89 (Muscle cell protein of the immunoglobin-like protein family, required for coordinated locomotion)"	2	5826110	ZK1248.15	1	1	1	11	O	19	2	U
4196	ZK1248.16	Member of the galactoside-binding lectin protein family	2	5828932	lec-5/ZK1248.16	1	1	1	11	O	20	0	U
4197	ZK1248.2	"Putative collagen, has similarity to human COL9A1, alpha-1 collagen, type IX"	2	5820221	ZK1248.2	1	1	1	11	O	21	0	U
4198	ZK1248.3	"Protein with similarity to human EPS15 (epidermal growth factor receptor pathway substrate 15, also known as AF1P, associated with mixed-lineage leukemia); has similarity to D. melanogaster dynamin-associated protein DAP160"	2	5810125	ehs-1/ZK1248.3	1	1	1	11	O	22	0	U
4199	ZK1248.5	Member of a protein family	2	5799802	ZK1248.5	1	1	1	11	O	23	0	U
4200	ZK1248.7	"Piwi-related protein with similarity over the C-terminal region to human and D. melanogaster PIWI proteins and C. elegans PRG-1/PRG-2, all of which are involved in germ-line proliferation"	2	5801720	ZK1248.7	1	1	1	11	O	24	0	U
4201	ZK1248.9	"Protein of unknown function, has strong similarity to C. elegans F55A12.1 and R06C7.1, members of a protein family"	2	5803476	ZK1248.9	1	1	1	11	P	1	0	U
4202	ZK1251.8	Member of the 4 TM potassium channel protein family	4	9284239	twk-21/ZK1251.8	1	1	1	11	P	2	2	U
4203	ZK1307.1	"Protein of unknown function, has strong similarity to C. elegans F38H4.5"	2	9645894	ZK1307.1	1	1	1	11	P	3	0	U
4204	ZK1307.5	Protein important for vulval invagination; likely component of a conserved glycosylation pathway	2	9639401	sqv-8/spe-2/ZK1307.5	1	1	1	11	P	4	0	U
4205	ZK1307.7	"G-protein coupled receptor with weak similarity to human endothelial differentiation, sphingolipid G-protein coupled receptor"	2	9628091	ZK1307.7	1	1	1	11	P	5	0	U
4206	ZK1307.9	"Protein of unknown function, has weak similarity to S. cerevisiae Yju2p and C. elegans F37C12.1"	2	9640954	ZK1307.9	1	1	1	11	P	6	0	U
4207	ZK1320.9	"Putative paralog of C. elegans C44B7.10, has similarity to S. cerevisiae ACH1, acetyl-CoA hydrolase"	2	9675703	ZK1320.9	1	1	1	11	P	7	0	U
4208	ZK1321.2	Putative voltage-gated potassium channel	2	9756470	nShak1/ZK1321.2	1	1	1	11	P	8	0	U
4209	ZK1321.3	"Protein of unknown function, has moderate similarity to C. elegans ZK525.2"	2	9760055	ZK1321.3	1	1	1	11	P	9	0	U
4210	ZK177.1	"Protein with weak similarity to H. sapiens TAF2N (TATA box binding protein (TBP)-associated factor, RNA polymerase II, N, 68kD (RNA-binding protein 56))"	2	5515344	ZK177.1	1	1	1	11	P	10	0	U
4211	ZK177.2	Member of the eukaryotic protein kinase domain protein family	2	5508447	ZK177.2	1	1	1	11	P	11	0	U
4212	ZK177.4	Protein with weak similarity to C. elegans F41H10.4	2	5495298	ZK177.4	1	1	1	11	P	12	0	U
4213	ZK177.5	Member of the cytochrome P450 protein family	2	5493277	ZK177.5	1	1	1	11	P	13	0	U
4214	ZK177.6	Member of the WD repeat protein family	2	5491584	ZK177.6	1	1	1	11	P	14	0	U
4215	ZK177.8	Protein of unknown function	2	5498467	ZK177.8	1	1	1	11	P	15	0	U
4216	ZK180.3	"Protein with weak similarity to S. cerevisiae Rft1p, a protein involved in nuclear division"	4	4430904	ZK180.3	1	1	1	11	P	16	0	U
4217	ZK180.5	"Protein of unknown function, has weak similarity to human transmembrane mucin 1, MUC1"	4	4437583	ZK180.5	1	1	1	11	P	17	0	U
4218	ZK180.6	Protein with weak similarity to C. elegans Y49E10.X	4	4442660	ZK180.6	1	1	1	11	P	18	0	U
4219	ZK20.5	"Putative proteasome subunit with similarity to human PSMD8, non-ATPase26S proteasome subunit p31"	2	11627109	ZK20.5	1	1	1	11	P	19	0	U
4220	ZK218.11	Member of an uncharacterized protein family	5	17031706	ZK218.11	1	1	1	11	P	20	0	U
4221	ZK218.2	Member of the Tc3 Transposase protein family	5	17020201	ZK218.2	1	1	1	11	P	21	2	U
4222	ZK218.7	Member of an uncharacterized protein family	5	17029959	ZK218.7	1	1	1	11	P	22	0	U
4223	ZK228.1	"Protein of unknown function, putative paralog of C. elegans ZC411.1"	5	18273281	ZK228.1	1	1	1	11	P	23	0	U
4224	ZK228.5	"Protein of unknown function, putative paralog of C. elegans ZK228.6"	5	18300848	ZK228.5	1	1	1	11	P	24	0	U
4225	ZK250.1	Member of the reverse transcriptase protein family	2	1939176	ZK250.1	1	1	1	12	A	1	0	U
4226	ZK250.10	"Putative paralog of C. elegans ZK250.9, has weak similarity at the C-terminus of S. cerevisiae PIF1, mitochondrial DNA repair and recombination protein"	2	1950902	ZK250.10	1	1	1	12	A	2	0	U
4227	ZK250.3	Member of the reverse transcriptase protein family	2	1922015	ZK250.3	1	1	1	12	A	3	0	U
4228	ZK250.4	TcA transposase	2	1915822	ZK250.4	1	1	1	12	A	4	2	U
4229	ZK250.5	"Protein of unknown function, putative paralog of C. elegans C52E2.C"	2	1917203	ZK250.5	1	1	1	12	A	5	2	U
4230	ZK250.6	Member of the BTB/POZ domain protein family	2	1923171	ZK250.6	1	1	1	12	A	6	2	U
4231	ZK250.7	Member of the BTB/POZ domain protein family	2	1933748	ZK250.7	1	1	1	12	A	7	0	U
4232	ZK250.8	Member of the BTB/POZ domain protein family	2	1936118	ZK250.8	1	1	1	12	A	8	2	U
4233	ZK250.9	"Putative paralog of C. elegans F59H6.I, has similarity at the C-terminus of S. cerevisiae PIF1, mitochondrial DNA repair and recombination protein"	2	1943131	ZK250.9/Y16E11A.2	1	1	1	12	A	9	0	U
4234	ZK265.1	"Protein with ankyrin repeats, C-terminus has moderate similarity to H. sapiens Hs.93810/Krit1 gene product"	1	7570269	ZK265.1	1	1	1	12	A	10	0	U
4235	ZK287.1	Protein with weak similarity to C. elegans B0244.8	5	9615990	ZK287.1	1	1	1	12	A	11	0	U
4236	ZK287.4	Member of the EGF-repeat protein family	5	9629428	ZK287.4	1	1	1	12	A	12	0	U
4237	ZK287.7	Protein of unknown function	5	9642122	ZK287.7	1	1	1	12	A	13	0	U
4238	ZK328.1	Protein with similarity to ubiquitin-specific protease	3	5478826	ZK328.1	1	1	1	12	A	14	0	U
4239	ZK328.2	Member of the translation elongation factor EF2-like protein family	3	5468194	eft-1/ZK328.2	1	1	1	12	A	15	0	U
4240	ZK328.3	Putative Rho-type GTPase-activating protein (GAP)	3	5461333	ZK328.3	1	1	1	12	A	16	0	U
4241	ZK328.6	"Putative DNA-binding protein, member of the T-box protein family"	3	5483703	tbx-7/ZK328.6	1	1	1	12	A	17	0	U
4242	ZK328.7	Protein with weak similarity to C. elegans K04G7.3 (Putative O-linked GlucNAc transferase)	3	5491356	ZK328.7	1	1	1	12	A	18	0	U
4243	ZK353.6	Member of the cytosol aminopeptidase protein family	3	7839564	ZK353.6	1	1	1	12	A	19	0	U
4244	ZK353.8	Member of the ubx domain protein family	3	7844090	ZK353.8	1	1	1	12	A	20	0	U
4245	ZK354.2	"Serine/threonine protein kinase of the casein kinase I subfamily, has similarity to S. cerevisiae Yck1p and Yck2p casein kinase I isoforms"	4	5221902	ZK354.2	1	1	1	12	A	21	2	U
4246	ZK354.6	"Serine/threonine protein kinase of the casein kinase I subfamily, has similarity to S. cerevisiae Hrr25p casein kinase I"	4	5204392	ZK354.6	1	1	1	12	A	22	0	U
4247	ZK354.8	"Putative tyrosine protein phosphatase, possible paralog of C. elegans B0207.1"	4	5212457	ZK354.8	1	1	1	12	A	23	0	U
4248	ZK370.3	"Putative talin (SANGER), putative ortholog of H. sapiens KIAA0655 gene product [huntingtin interacting protein (HIP1)]"	3	8160454	ZK370.3	1	1	1	12	A	24	0	U
4249	ZK370.4	Member of the cyclic nucleotide-binding domain protein family	3	8165846	ZK370.4	1	1	1	12	B	1	0	U
4250	ZK370.8	"Protein containing a TPR (tetratricopeptide repeats) domain, has similarity over N-terminal half to human KIAA0719"	3	8192369	ZK370.8	1	1	1	12	B	2	0	U
4251	ZK377.1	"Protein of unknown function, contains warthog domain and hedgehog domain/hint module"	X	3230249	wrt-6/ZK377.1	1	1	1	12	B	3	0	U
4252	ZK377.2	Predicted transmembrane protein involved in axon guidance of motor neurons both to and within the ventral nerve cord; member of the Immunoglobin superfamily	X	3202491	sax-3/ZK377.2/ZK377.3	1	1	1	12	B	4	0	U
4253	ZK380.1	Putative paralog of C. elegans C36C9.2 gene product	X	1377276	ZK380.1	1	1	1	12	B	5	0	U
4254	ZK381.2	Member of an uncharacterized protein family	4	6614686	ZK381.2	1	1	1	12	B	6	1	U
4255	ZK381.4	Component of P granules	4	6623753	pgl-1/ZK381.4	1	1	1	12	B	7	0	U
4256	ZK384.3	Member of the protease protein family	5	18557566	ZK384.3	1	1	1	12	B	8	0	U
4257	ZK40.1	"Putative paralog of C. elegans T05H4.1, has similarity to S. cerevisiae YDR018C, a putative acyltransferase"	5	6402382	ZK40.1	1	1	1	12	B	9	0	U
4258	ZK402.5	Member of an uncharacterized protein family	X	1121515	ZK402.5	1	1	1	12	B	10	0	U
4259	ZK418.1	Member of the nuclear hormone receptor/Zinc finger protein family	3	6553973	nhr-9/ZK418.1	1	1	1	12	B	11	0	U
4260	ZK418.2	Protein of unknown function	3	6549725	ZK418.2	1	1	1	12	B	12	0	U
4261	ZK418.7	Member of an uncharacterized protein family	3	6537498	ZK418.7	1	1	1	12	B	13	0	U
4262	ZK418.8	"Putative RNA-binding protein, contains three KH domains"	3	6542287	ZK418.8	1	1	1	12	B	14	0	U
4263	ZK418.9	Protein with similarity to a family of single-strand DNA-binding proteins	3	6543810	ZK418.9	1	1	1	12	B	15	0	U
4264	ZK430.1	"Protein of unknown function, has weak similarity to S. cerevisiae Yjl109p"	2	4418724	ZK430.1	1	1	1	12	B	16	0	U
4265	ZK430.5	"Putative paralog of C. elegans Y47G6A_246.B, has similarity to Emericella nidulans BIMB, a cell division-associated protein"	2	4399377	ZK430.5	1	1	1	12	B	17	0	U
4266	ZK430.7	"Protein containing WD repeats, putative ortholog of S. cerevisiae Sof1p, a protein involved in rRNA processing"	2	4416139	ZK430.7	1	1	1	12	B	18	0	U
4267	ZK430.8	Member of the peroxidase protein family	2	4386544	ZK430.8	1	1	1	12	B	19	0	U
4268	ZK455.2	Putative guanylyl cyclase	X	11086086	gcy-9/ZK455.2	1	1	1	12	B	20	0	U
4269	ZK455.8	Protein with strong similarity to human and D. melanogaster organic cation transporters	X	11101224	ZK455.8	1	1	1	12	B	21	0	U
4270	ZK470.6	"Protein of unknown function, has weak similarity to C. elegans F42A10.6"	X	3930202	ZK470.6	1	1	1	12	B	22	0	U
4271	ZK484.2	"Probable membrane transporter of the ATP-binding cassette (ABC) superfamily, has strong similarity to human peptide transporters TAP1 and TAP2, has strong similarity to D. melanogaster and S. cerevisiae multidrug resistance proteins"	1	5412669	ZK484.2	1	1	1	12	B	23	0	U
4272	ZK484.3	Protein of unknown function	1	5399669	ZK484.3	1	1	1	12	B	24	0	U
4273	ZK484.7	"Putative tyrosine protein phosphatase, has similarity to tyrosine protein phosphatases of human, D. melanogaster, and S. cerevisiae, possible paralog of C. elegans C55B7.3"	1	5425984	ZK484.7	1	1	1	12	C	1	0	U
4274	ZK488.2	"Putative paralog of C. elegans R11G11.1, a member of the nuclear hormone receptor/zinc finger protein family"	5	659416	ZK488.2	1	1	1	12	C	2	0	U
4275	ZK488.5	"Protein of unknown function, putative paralog of C. elegans ZK488.6"	5	642139	ZK488.5	1	1	1	12	C	3	0	U
4276	ZK488.6	"Protein of unknown function, putative paralog of C. elegans ZK488.5"	5	639347	ZK488.6	1	1	1	12	C	4	2	U
4277	ZK520.1	"Protein of unknown function, has weak similarity to human protein KIAA0590 (Hs.111862)"	3	12895658	ZK520.1	1	1	1	12	C	5	0	U
4278	ZK520.3	Protein with weak similarity to C. elegans C36B1.5	3	12901860	ZK520.3	1	1	1	12	C	6	0	U
4279	ZK520.4	Member of the cullin family of cell cycle control proteins	3	12907091	cul-2/ZK520.4	1	1	1	12	C	7	0	U
4280	ZK54.2	Member of the trehalose-6-phosphate synthase protein family	X	17179318		1	1	1	12	C	8	0	U
4281	ZK546.1	"Putative coiled-coil protein, has weak similarity to S. cerevisiae Uso1p, required for protein transport from ER to Golgi"	2	4939157	ZK546.1	1	1	1	12	C	9	0	U
4282	ZK546.14	"Putative coiled-coil protein, has weak similarity to S. cerevisiae spindle pole body component Nuf1p, has weak similarity to C. elegans myosin family member NMY-1"	2	4933426	ZK546.14	1	1	1	12	C	10	0	U
4283	ZK546.15	"Putative serine protease of the trypsin family, has strong similarity to human PLG, plasminogen, and PRSS8 prostasin"	2	4937507	ZK546.15	1	1	1	12	C	11	0	U
4284	ZK546.5	"Putative zinc finger containing protein, has weak similarity to C. elegans Y55F3A_748.A protein"	2	4924809	ZK546.5	1	1	1	12	C	12	0	U
4285	ZK546.7	Member of a protein family	2	4920225	ZK546.7	1	1	1	12	C	13	0	U
4286	ZK546.8	Member of the transposase protein family	2	4916261	ZK546.8/Y53F4B.34	1	1	1	12	C	14	0	U
4287	ZK550.4	TFIIE-alpha protein	4	16535344	ZK550.4	1	1	1	12	C	15	0	U
4288	ZK563.3	Member of the transposase protein family	X	3120078	ZK563.3	1	1	1	12	C	16	0	U
