^PLATFORM = GPL12
!Platform_title = Stanford Zea mays
!Platform_geo_accession = GPL12
!Platform_status = Public on Oct 09 2001
!Platform_submission_date = Jun 11 2001
!Platform_last_update_date = May 26 2005
!Platform_technology = spotted DNA/cDNA
!Platform_distribution = non-commercial
!Platform_organism = Zea mays
!Platform_taxid = 4577
!Platform_description = A maize array fabricated with 5,376 unique expressed sequence tag (EST) clones sequenced from 4-day-old roots, immature ears and adult organ cDNA libraries.
!Platform_description = mRNA source: Zea mays strain with genetic background K55 (75%), W23 (20%), Robertson's Mutator (5%).
!Platform_web_link = http://zmdb.iastate.edu/
!Platform_pubmed_id = 12225584
!Platform_contributor = Yangrae,,Cho
!Platform_contributor = Virginia ,,Walbot
!Platform_contact_name = Yangrae,,Cho
!Platform_contact_email = yacho@sequence.stanford.edu
!Platform_contact_phone = 650-812-1976
!Platform_contact_fax = 650-812-1975
!Platform_contact_laboratory = V. Walbot
!Platform_contact_department = Biological Sciences
!Platform_contact_institute = Stanford University
!Platform_contact_address = 385 Serra Mall
!Platform_contact_city = Stanford University
!Platform_contact_state = CA
!Platform_contact_zip/postal_code = 94305-8221
!Platform_contact_country = USA
!Platform_sample_id = GSM57
!Platform_sample_id = GSM58
!Platform_sample_id = GSM59
!Platform_sample_id = GSM60
!Platform_sample_id = GSM61
!Platform_sample_id = GSM62
!Platform_sample_id = GSM63
!Platform_sample_id = GSM64
!Platform_sample_id = GSM65
!Platform_sample_id = GSM66
!Platform_sample_id = GSM67
!Platform_sample_id = GSM68
!Platform_sample_id = GSM69
!Platform_sample_id = GSM70
!Platform_sample_id = GSM71
!Platform_sample_id = GSM72
!Platform_sample_id = GSM73
!Platform_sample_id = GSM74
!Platform_sample_id = GSM75
!Platform_sample_id = GSM76
!Platform_sample_id = GSM77
!Platform_sample_id = GSM78
!Platform_sample_id = GSM79
!Platform_sample_id = GSM80
!Platform_series_id = GSE141
!Platform_data_row_count = 5760
#ID = 
#Homologs PID-1 = Top matching sequences to GenBank on March 1, 2001
#Homologs PID-2 = Top matching sequences to GenBank on March 1, 2001
#Homologs PID-3 = Top matching sequences to GenBank on March 1, 2001
#SPOT_ID = Spot identifier
!platform_table_begin
ID	Homologs PID-1	Homologs PID-2	Homologs PID-3	SPOT_ID
614074D08.y3	Homolog PID: 6175185 ankyrin-like protein [Arabidopsis thaliana]			614074D08.y3
614075D02.x1	Homolog PID: 2298895 unnamed protein product [Cuphea lanceolata]	Homolog PID: 2298893 unnamed protein product [Cuphea lanceolata]	Homolog PID: 840731 glycerol-3-phosphate dehy	614075D02.x1
614075C11.x1	Homolog PID: 2345154 ribsomal protein S4 [Zea mays]	Homolog PID: 2331301 ribosomal protein S4 type I [Zea mays]	Homolog PID: 457803 ribosomal protein S4 [Solanum tuberosum]	614075C11.x1
614076D09.x1				614076D09.x1
614077A08.x3				614077A08.x3
614074A04.x3	Homolog PID: 10177826 contains similarity to ABA-respo... [Arabidopsis thaliana]	Homolog PID: 10177824 contains similarity to ABA-repso... [Arabidopsis thaliana]		614074A04.x3
614074F08.y3				614074F08.y3
614075G02.x1				614075G02.x1
614075F12.x1				614075F12.x1
614076C10.y2				614076C10.y2
614077E09.x3				614077E09.x3
614090D10.x1	Homolog PID: 11138076 putative coatmer beta subunit [Oryza sativa]	Homolog PID: 7270052 Beta-COP-like protein [Arabidopsis thaliana]	Homolog PID: 5262760 Beta-COP-like prote	614090D10.x1
614091G06.x1	Homolog PID: 9294004 gb|AAD30650.1~gene_id:MFD22.10~s...	Homolog PID: 10092357 unknown protein 90320-88994	Homolog PID: 4836948 Similar to human CGI-33 protein [Arabidopsis thaliana]	614091G06.x1
614092F01.x1	Homolog PID: 3075386 putative receptor-like protein k... [Arabidopsis thaliana]	Homolog PID: 1345132 ERECTA [Arabidopsis thaliana]	Homolog PID: 1389566 receptor	614092F01.x1
614092F12.x1				614092F12.x1
614094G09.x1	Homolog PID: 9757739 gene_id:MCL19.25~pir||T04533~str...			614094G09.x1
614097C01.x1				614097C01.x1
614090H12.x1				614090H12.x1
614091D07.x1				614091D07.x1
614092H03.x1				614092H03.x1
614093F01.x1	Homolog PID: 7109232 secretory carrier membrane protein [Oryza sativa]	Homolog PID: 5734732 Hypothetical protein [Arabidopsis thaliana]	Homolog PID: 4454464 putative sec	614093F01.x1
614094H11.x1	Homolog PID: 4585907 unknown protein [Arabidopsis thaliana]	Homolog PID: 2104463 hypothetical protein [Schizosaccharomyces pomb]	Homolog PID: 2735550 unc-50 related protein URP	614094H11.x1
614097A02.y1				614097A02.y1
614091D01.y1	Homolog PID: 7269305 clathrin coat assembly like prot... [Arabidopsis thaliana]	Homolog PID: 4220535 clathrin coat assembly like prot... [Arabidopsis thaliana]		614091D01.y1
614091B08.x1	Homolog PID: 1212994 coproporphyrinogen oxidase [Hordeum vulgare]	Homolog PID: 1213067 coproporphyrinogen oxidase [Nicotiana tabacum]	Homolog PID: 414667 coproporphyrinogen o	614091B08.x1
614092G05.x1				614092G05.x1
614093C05.x1	Homolog PID: 8920636 Strong similarity to wall-associ...	Homolog PID: 8920637 Strong similarity to wall-associ...	Homolog PID: 8920639 Identical to wall-associated kin...	614093C05.x1
614095B02.x1				614095B02.x1
614097C02.x1				614097C02.x1
614091H03.x1	Homolog PID: 8843794 gene_id:MZN1.18~unknown protein [Arabidopsis thaliana]			614091H03.x1
614091G08.x1	Homolog PID: 2642324 profilin [Zea mays]	Homolog PID: 11493677 profilin 5 [Zea mays]	Homolog PID: 1229169 profilin [Hordeum vulgare]	614091G08.x1
614092F08.x1				614092F08.x1
614093F05.x1	Homolog PID: 9993349 Unknown protein [Arabidopsis thaliana]			614093F05.x1
614095G02.x1	Homolog PID: 1871176 unknown protein [Arabidopsis thaliana]	Homolog PID: 6729545 putative protein [Arabidopsis thaliana]		614095G02.x1
614097B03.x1	Homolog PID: 7380908 nonclathrin coat protein zeta2-COP [Zea mays]	Homolog PID: 7259350 nonclathrin coat protein zeta2-COP [Oryza sativa]	Homolog PID: 7363244 nonclathrin co	614097B03.x1
606001C09.x2				606001C09.x2
606002H06.x1	Homolog PID: 3264769 late embryogenesis-like protein [Prunus armeniaca]	Homolog PID: 3212877 putative LEA [Arabidopsis thaliana]		606002H06.x1
606003F11.x1				606003F11.x1
606005D02.x1				606005D02.x1
606005F10.x1				606005F10.x1
606006C06.x1				606006C06.x1
606001F09.x2				606001F09.x2
606002F09.x1				606002F09.x1
606003E12.x1	Homolog PID: 6562000 hypothetical protein [Arabidopsis thaliana]			606003E12.x1
606005F02.x1				606005F02.x1
606005E11.x1	Homolog PID: 10177211 protein kinase [Arabidopsis thaliana]	Homolog PID: 6016708 putative protein kinase [Arabidopsis thaliana]	Homolog PID: 9279693 kinase-like protein [Arabidopsi	606005E11.x1
606006E06.x1	Homolog PID: 6862921 hypothetical protein [Arabidopsis thaliana]	Homolog PID: 6587821 Contains similarity to gb|AF1816...	Homolog PID: 3879145 predicted using Genefinder~Simil	606006E06.x1
606001A10.x2	Homolog PID: 9280295 N6-DNA-methyltransferase-like pr... [Arabidopsis thaliana]			606001A10.x2
606003B04.x1	Homolog PID: 1786881 putative ATP-binding protein in ...  Escherichia [coli k12]	Homolog PID: 1778579 B1937_F1_20 homolog [Escherichia coli]	Homolog PID: 4062279	606003B04.x1
606004E04.x1	Homolog PID: 6850868 putative protein [Arabidopsis thaliana]	Homolog PID: 11072018 F12A21.27 [Arabidopsis thaliana]	Homolog PID: 6382528 unknown protein [Arabidopsis thaliana]	606004E04.x1
606005H05.x1	Homolog PID: 7270827 putative protein [Arabidopsis thaliana]	Homolog PID: 4539351 putative protein [Arabidopsis thaliana]		606005H05.x1
606005H11.x1				606005H11.x1
606006B07.x1				606006B07.x1
606001C11.x2	Homolog PID: 9558596 Contains similarity to a hypothe...	Homolog PID: 5454208 T3P18.22 [Arabidopsis thaliana]	Homolog PID: 6630464 F23N19.4 [Arabidopsis thaliana]	606001C11.x2
606003E04.x1	Homolog PID: 287835 yptm2 [Zea mays]	Homolog PID: 9711867 putative GTP-binding protein [Oryza sativa]	Homolog PID: 1053063 small GTP-binding protein [Lycopersicon esculentum]	606003E04.x1
606004B07.x1	Homolog PID: 7262694 Contains similarity to an Alfalf... [Arabidopsis thaliana]	Homolog PID: 6598406 putative PHD-type zinc finger pr... [Arabidopsis thaliana]		606004B07.x1
606005B06.x1				606005B06.x1
606006B01.x1				606006B01.x1
606006F07.x1	Homolog PID: 9229404 gene_id:MLM24.13~unknown protein [Arabidopsis thaliana]			606006F07.x1
606019E10.x2	Homolog PID: 4204270 branched-chain alpha-keto acid d... [Arabidopsis thaliana]	Homolog PID: 3746568 branched-chain alpha-keto acid d... [Arabidopsis thaliana]		606019E10.x2
606020C11.x1				606020C11.x1
606021C04.x2				606021C04.x2
606021B10.x2	Homolog PID: 469511 endo-xyloglucan transferase [Triticum aestivum]	Homolog PID: 1885310 Endoxyloglucan transferase [Hordeum vulgare]	Homolog PID: 469510 endo-xyloglucan tr	606021B10.x2
606022F04.x1	Homolog PID: 2282584 elongation factor 1-alpha [Zea mays]	Homolog PID: 1321656 alpha subunit of tlanslation elo... [Zea mays]	Homolog PID: 7230387 elongation factor 1 alpha [Zea mays	606022F04.x1
606022D11.x1	Homolog PID: 6692748 unknown protein 95319-98330			606022D11.x1
606019H10.x2				606019H10.x2
606020F11.x1	Homolog PID: 11762277 MTH12.10 [Arabidopsis thaliana]	Homolog PID: 11386286 histone H4 [Oryza sativa]	Homolog PID: 8439903 Identical to histone H4 from Ara...	606020F11.x1
606021B05.x2				606021B05.x2
606021F11.x2	Homolog PID: 9294015 contains similarity to Serine/Th... [Arabidopsis thaliana]	Homolog PID: 10645416 protein kinase, putative 86372-...	Homolog PID: 10176783 	606021F11.x2
606022G05.x1				606022G05.x1
606022C12.x1				606022C12.x1
606020C02.x1	Homolog PID: 1841355 cytochrome c oxidase subunit Vb ... [Oryza sativa]	Homolog PID: 5803264 ESTs AU057456(S21460),AU057455(S... [Oryza sativa]	Homolog PID: 5902388 Unk	606020C02.x1
606021A02.x2				606021A02.x2
606021F05.x2	Homolog PID: 5360657 anthranilate synthase alpha 1 su... [Oryza sativa]	Homolog PID: 960291 anthranilate synthase alpha subu... [Ruta graveolens]	Homolog PID: 9759098 a	606021F05.x2
606021B12.x2	Homolog PID: 7329695 putative protein [Arabidopsis thaliana]			606021B12.x2
606022G06.x1	Homolog PID: 9280642 F21B7.6 [Arabidopsis thaliana]	Homolog PID: 3924604 putative leucine-rich repeat pro... [Arabidopsis thaliana]	Homolog PID: 7269786 putative leucine-rich repeat pro...	606022G06.x1
606023B01.x1	Homolog PID: 763160 heat shock protein 70 [Oryza sativa]	Homolog PID: 6911553 heat shock protein 70 [Cucumis sativus]	Homolog PID: 1181673 heat shock protein cognate 70 [Sorghum bicol	606023B01.x1
606020H04.x1				606020H04.x1
606021C02.x2				606021C02.x2
606021A06.x2				606021A06.x2
606021F12.x2	Homolog PID: 3328364 kinase associated protein phosph... [Oryza sativa]	Homolog PID: 2735008 kinase associated protein phosph... [Zea mays]		606021F12.x2
606022C07.x1	Homolog PID: 7573353 putative protein [Arabidopsis thaliana]	Homolog PID: 6841480 HSPC129 [Homo sapiens]	Homolog PID: 6841354 HSPC058 [Homo sapiens]	606022C07.x1
606023G01.x1				606023G01.x1
agrpE1-1				agrpE1-1
agrpE1-2				agrpE1-2
agrpE1/I(24/21)				agrpE1/I(24/21)
agrpI				agrpI
agrpE2-1				agrpE2-1
agrpE2-2				agrpE2-2
ef1aE1-1				ef1aE1-1
ef1aE1-2				ef1aE1-2
ef1ai				ef1ai
ef1ai/E2(26/19)				ef1ai/E2(26/19)
ef1aE2-1				ef1aE2-1
ef1aE2-2				ef1aE2-2
hrgpE1-1				hrgpE1-1
hrgpE1-2				hrgpE1-2
hrgpi				hrgpi
hrgpi/E2(22/23)				hrgpi/E2(22/23)
hrgpE2-1				hrgpE2-1
hrgpE2-2				hrgpE2-2
atube3				atube3
atubue3				atubue3
atube3/i3(28/17)				atube3/i3(28/17)
atubi3/e4(31/14)				atubi3/e4(31/14)
atube4-1				atube4-1
atube4-2				atube4-2
707010D06.y3				707010D06.y3
707010H10.y3	Homolog PID: 8886326 vacuolar targeting receptor bp-80 [Triticum aestivum]	Homolog PID: 2443857 vacuolar sorting receptor homolog [Zea mays]	Homolog PID: 6653740 vac	707010H10.y3
707012C02.y5				707012C02.y5
707012D12.y1	Homolog PID: 414705 cytochrome b5 [Oryza sativa]	Homolog PID: 2914701 putative cytochrome b5 [Arabidopsis thaliana]	Homolog PID: 296386 cytochrome b5 [Nicotiana tabacum]	707012D12.y1
707013H07.x1				707013H07.x1
707013B12.y6	Homolog PID: 9229393 ankyrin-like protein [Arabidopsis thaliana]	Homolog PID: 2341032 EST gb|ATTS0956 comes from this ...	Homolog PID: 2244792 ankyrin like protein [Arabidopsi	707013B12.y6
707010G06.y1				707010G06.y1
707010F11.y1				707010F11.y1
707012C03.y1				707012C03.y1
707013C01.y6	Homolog PID: 3757522 putative splicing factor [Arabidopsis thaliana]	Homolog PID: 10334491 putative splicing factor [Cicer arietinum]	Homolog PID: 9758966 splicing factor-	707013C01.y6
707013E08.y5	Homolog PID: 6539562 ESTs C19133(E10008),AU058199(E50... [Oryza sativa]	Homolog PID: 22643 3-isopropylmalate dehydrogenase [Solanum tuberosum]	Homolog PID: 3021506 isoc	707013E08.y5
707013F12.y1	Homolog PID: 6939227 putative ribosomal protein 2348...	Homolog PID: 8954039 Strong similarity to a ribosomal...	Homolog PID: 9802763 Putative ribosomal protein [Arabidopsis thaliana	707013F12.y1
707010G07.y3				707010G07.y3
707010D12.y1				707010D12.y1
707012D04.y1				707012D04.y1
707013E02.x1	Homolog PID: 9665062 Contains similarity to ATP depen... [Arabidopsis thaliana]			707013E02.x1
707013G08.y4				707013G08.y4
707014B01.y1				707014B01.y1
707010C08.y3	Homolog PID: 9624495 chlorophyll a/b-binding protein ... [Hordeum vulgare]	Homolog PID: 3789952 chlorophyll a/b-binding protein ... [Oryza sativa]	Homolog PID: 6470348	707010C08.y3
707011A01.y1	Homolog PID: 7268828 putative protein [Arabidopsis thaliana]	Homolog PID: 5738378 putative protein [Arabidopsis thaliana]	Homolog PID: 7268898 putative protein [Arabidopsis thalia	707011A01.y1
707012F05.y5				707012F05.y5
707013H03.x1	Homolog PID: 2342494 bromelain [Ananas comosus]	Homolog PID: 2463582 FB31 precursor [Ananas comosus]	Homolog PID: 2351107 bromelain [Ananas comosus]	707013H03.x1
707013B09.y4	Homolog PID: 9719718 Strong similarity to 12-oxophyto... [Arabidopsis thaliana]	Homolog PID: 9665076 Strong similarity to 12-oxophyto...	Homolog PID: 1854443 CP	707013B09.y4
707014E01.y1	Homolog PID: 4337210 unknown protein [Arabidopsis thaliana]			707014E01.y1
707035D08.x2	Homolog PID: 5668810 Contains similarity to gb|M74161...	Homolog PID: 1019103 inositol polyphosphate 5-phospha... [Homo sapiens]	Homolog PID: 9945302 inositol polyphosphate 5-phospha.	707035D08.x2
707036C10.x1				707036C10.x1
707037C09.x1				707037C09.x1
707040C09.x2	Homolog PID: 8777339 serine/threonine protein kinase [Arabidopsis thaliana]	Homolog PID: 9280636 CBL-interacting protein kinase 2 [Arabidopsis thaliana]		707040C09.x2
707041G02.x1				707041G02.x1
707041D06.x1				707041D06.x1
707035F08.x2	Homolog PID: 5924030 phosphoribulokinase [Triticum aestivum]	Homolog PID: 21839 phosphoribulokinase [Triticum aestivum]	Homolog PID: 10092438 phosphoribulokinase precursor [Arabid	707035F08.x2
707036H10.x1	Homolog PID: 7801655 vacuolar H(+)-ATPase subunit-lik... [Arabidopsis thaliana]	Homolog PID: 10728827 VhaSFD gene product [Drosophila melanogaster]	Homolog PID: 5	707036H10.x1
707037C10.x1	Homolog PID: 886401 MADS box protein [Oryza sativa]	Homolog PID: 2961437 MADS box protein [Oryza sativa]	Homolog PID: 4885034 PISTILLATA protein homolog HPI1 [Hyacinthus orientalis]	707037C10.x1
707040H09.x2				707040H09.x2
707041B03.x1				707041B03.x1
707041F06.x1				707041F06.x1
707035H08.x2	Homolog PID: 9757999 polypyrimidine tract-binding RNA... [Arabidopsis thaliana]	Homolog PID: 6714473 putative polypyrimidine tract-bi... [Arabidopsis thaliana]		707035H08.x2
707036F12.x1	Homolog PID: 2244979 enoyl-CoA hydratase like protein [Arabidopsis thaliana]	Homolog PID: 7268370 enoyl-CoA hydratase like protein [Arabidopsis thaliana]		707036F12.x1
707040C01.x5	Homolog PID: 5541685 chloroplast import-associated ch... [Arabidopsis thaliana]	Homolog PID: 633607 chloroplastic outer envelope mem... [Pisum sativum]		707040C01.x5
707040B11.x4				707040B11.x4
707041E03.x1				707041E03.x1
707041D07.x1				707041D07.x1
707035G10.x2	Homolog PID: 4138583 plastidic ATP/ADP-transporter [Solanum tuberosum]	Homolog PID: 6469340 adenine nucleotide translocase [Arabidopsis thaliana]	Homolog PID: 6751705 ad	707035G10.x2
707037B03.x1				707037B03.x1
707040D02.x2	Homolog PID: 3851005 pyruvate dehydrogenase E1 alpha ... [Zea mays]	Homolog PID: 5080822 pyruvate dehydrogenase E1 alpha ... [Arabidopsis thaliana]	Homolog PID: 710400 pyru	707040D02.x2
707040C12.x2				707040C12.x2
707041G03.x1				707041G03.x1
707041A08.x1				707041A08.x1
707055G11.x1	Homolog PID: 4582445 unknown protein [Arabidopsis thaliana]			707055G11.x1
707056F04.x2				707056F04.x2
707056B10.x1				707056B10.x1
707057C05.x1	Homolog PID: 6403495 unknown protein [Arabidopsis thaliana]	Homolog PID: 7327820 putative protein [Arabidopsis thaliana]	Homolog PID: 10177986 gb|AAF07835.1~gene_id:MJG14.7~si...	707057C05.x1
707057D11.x1	Homolog PID: 9795617 FH protein interacting protein F... [Arabidopsis thaliana]	Homolog PID: 6503012 FH protein interacting protein F... [Arabidopsis thaliana]		707057D11.x1
707058E06.x1	Homolog PID: 7269213 calcium-dependent protein kinase [Arabidopsis thaliana]	Homolog PID: 4454034 calcium-dependent protein kinase [Arabidopsis thaliana]		707058E06.x1
707055D12.x1	Homolog PID: 3355470 putative phospholipase [Arabidopsis thaliana]	Homolog PID: 3355471 putative phospholipase [Arabidopsis thaliana]	Homolog PID: 7362766 putative protein [	707055D12.x1
707056E05.x2	Homolog PID: 7269628 putative protein [Arabidopsis thaliana]	Homolog PID: 4469025 putative protein [Arabidopsis thaliana]	Homolog PID: 10441648 mdgl-1 [Mus musculus]	707056E05.x2
707056E10.x1	Homolog PID: 9294029 vesicle transport v-SNARE [Arabidopsis thaliana]	Homolog PID: 6690274 v-SNARE AtVTI1a [Arabidopsis thaliana]	Homolog PID: 10177700 v-SNARE AtVTI1a [A	707056E10.x1
707057F05.x2	Homolog PID: 1431629 pectinacetylesterase precursor [Vigna radiata]	Homolog PID: 3047082 similar to Vigna radiata pectina... [Arabidopsis thaliana]	Homolog PID: 3522956 put	707057F05.x2
707057E12.x1	Homolog PID: 6729544 putative protein [Arabidopsis thaliana]			707057E12.x1
707058B07.x2	Homolog PID: 3540193 Unknown protein [Arabidopsis thaliana]			707058B07.x2
707055F12.x1	Homolog PID: 7452981 allene oxide synthase [Hordeum vulgare]	Homolog PID: 7452979 allene oxide synthase [Hordeum vulgare]	Homolog PID: 6002957 allene oxide synthase [Arabidopsis t	707055F12.x1
707056E06.x2	Homolog PID: 1498733 ribosomal protein S6 [Manduca sexta]	Homolog PID: 158231 ribosomal protein S6 [Drosophila melanogaster]	Homolog PID: 158338 ribosomal protein S6 [Drosophila mela	707056E06.x2
707056H10.x2				707056H10.x2
707057A06.x1	Homolog PID: 7670030 pectinesterase-like protein [Arabidopsis thaliana]	Homolog PID: 4415916 putative pectinesterase [Arabidopsis thaliana]	Homolog PID: 3176717 putativ	707057A06.x1
707058D02.x2				707058D02.x2
707058D07.x1	Homolog PID: 9758143 gene_id:MUD21.19~pir||T38383~sim...			707058D07.x1
707056E01.x1	Homolog PID: 7270482 putative sugar transporter protein [Arabidopsis thaliana]	Homolog PID: 3080420 putative sugar transporter protein [Arabidopsis thaliana]		707056E01.x1
707056A07.x1	Homolog PID: 5499734 germin-like protein 1 precursor [Oryza sativa]	Homolog PID: 5499730 germin-like protein 1 precursor [Oryza sativa]	Homolog PID: 2655287 germin-like pro	707056A07.x1
707056H11.x2	Homolog PID: 1230614 isoflavone reductase-like protein [Lupinus albus]	Homolog PID: 7578917 pinoresinol-lariciresinol reduct... [Tsuga heterophylla]	Homolog PID: 7578915 	707056H11.x2
707057B07.x1				707057B07.x1
707058G02.x1				707058G02.x1
707058C09.x1	Homolog PID: 7269326 putative protein [Arabidopsis thaliana]	Homolog PID: 4220515 putative protein [Arabidopsis thaliana]		707058C09.x1
707081D08.x1				707081D08.x1
707082C09.x1				707082C09.x1
707083A12.x1	Homolog PID: 2199566 cytochrome P-450 [Zea mays]	Homolog PID: 550436 cytochrome P450 [Zea mays]	Homolog PID: 550434 cytochrome P450 [Zea mays]	707083A12.x1
707087G10.x1	Homolog PID: 8671508 beta 4 subunit of 20S proteasome [Oryza sativa]	Homolog PID: 3421111 20S proteasome beta subunit PBD1 [Arabidopsis thaliana]	Homolog PID: 2511590 mult	707087G10.x1
707089E12.x1				707089E12.x1
707090B11.x1	Homolog PID: 3763920 hypothetical protein [Arabidopsis thaliana]			707090B11.x1
707081B10.x1	Homolog PID: 4926868 putative phosphoserine aminotran... [Arabidopsis thaliana]	Homolog PID: 7270514 phosphoserine aminotransferase [Arabidopsis thaliana]		707081B10.x1
707082A12.x1	Homolog PID: 10645555 integral membrane protein, putat...	Homolog PID: 9759107 phosphate/phosphoenolpyruvate tr... [Arabidopsis thaliana]	Homolog PID: 6056196 unknown protein [Arabid	707082A12.x1
707087B02.X3	Homolog PID: 8978265 gb|AAC49734.1~gene_id:K2I5.4~str...	Homolog PID: 11055836 unknown protein [Arabidopsis thaliana]	Homolog PID: 11038508 unknown protein, 5' partial [Arabidopsis th	707087B02.X3
707087G11.x1	Homolog PID: 976257 stearyl-ACP desaturase [Oryza sativa]	Homolog PID: 167197 stearoyl-acyl-carrier protein de... [Carthamus tinctorius]	Homolog PID: 1785862 stearoyl-Acyl-carrier pr	707087G11.x1
707090F01.x1				707090F01.x1
707090A12.x1	Homolog PID: 5923664 Yippee-like protein [Arabidopsis thaliana]	Homolog PID: 4895260 unknown protein [Arabidopsis thaliana]	Homolog PID: 7573484 Yippee-like protein [Arabidopsi	707090A12.x1
707081D10.x1	Homolog PID: 1864024 calcium-binding pollen allergen [Cynodon dactylon]	Homolog PID: 1871507 calcium-binding pollen allergen [Cynodon dactylon]	Homolog PID: 3367732 p7 	707081D10.x1
707083G02.x1				707083G02.x1
707087E03.X3				707087E03.X3
707089C01.x1				707089C01.x1
707090F03.x1				707090F03.x1
707091B01.x3	Homolog PID: 3687235 copia-like retroelement pol poly... [Arabidopsis thaliana]	Homolog PID: 7269814 putative protein [Arabidopsis thaliana]	Homolog PID: 4972062	707091B01.x3
707081D12.x1	Homolog PID: 9758054 gene_id:MYC6.16~pir||T13026~stro...	Homolog PID: 7269197 putative protein [Arabidopsis thaliana]	Homolog PID: 3451074 putative protein [Arabidopsis thaliana]	707081D12.x1
707083F03.x1	Homolog PID: 4432860 putative glucose regulated repre... [Arabidopsis thaliana]	Homolog PID: 2407790 grr1 [Glycine max]	Homolog PID: 10177823 contains similarit	707083F03.x1
707087G03.X3				707087G03.X3
707089C02.x1	Homolog PID: 1946300 hypothetical protein [Silene latifolia]	Homolog PID: 2760086 leucine-rich repeat protein [Arabidopsis thaliana]	Homolog PID: 2760084 leucine-rich repeat prote	707089C02.x1
707090G04.x1	Homolog PID: 2773154 abscisic acid- and stress-induci... [Oryza sativa]			707090G04.x1
707091F02.x3	Homolog PID: 6900306 putative acid phosphatase [Hordeum vulgare]	Homolog PID: 3341443 acid phosphatase [Glycine max]	Homolog PID: 7269825 acid phosphatase-like protein [Arabid	707091F02.x3
945005B04.Y1				945005B04.Y1
945005G09.X3	Homolog PID: 4262234 unknown protein [Arabidopsis thaliana]	Homolog PID: 6899648 Contains Thioredoxin domain PF|0...	Homolog PID: 7303341 CG4670 gene product [Drosophila melanogast	945005G09.X3
945008H04.X4	Homolog PID: 6056414 Unknown protein [Arabidopsis thaliana]	Homolog PID: 3341695 putative thiamin pyrophosphokinase [Arabidopsis thaliana]	Homolog PID: 6468206 thiamin pyrophosphok	945008H04.X4
945008C10.Y1				945008C10.Y1
945009A07.X2				945009A07.X2
945010G04.X2				945010G04.X2
945005H05.Y1				945005H05.Y1
945005F11.Y1	Homolog PID: 9294093 gene_id:MMP21.5~pir||C71413~stro...	Homolog PID: 3152568 Similar to hypothetical protein ... [Arabidopsis thaliana]	Homolog PID: 2244855 hypothetical protein [Ara	945005F11.Y1
945008B05.X4				945008B05.X4
945008H10.X4				945008H10.X4
945009G09.X2				945009G09.X2
945010F05.Y1	Homolog PID: 9758726 gene_id:MFC19.2~unknown protein [Arabidopsis thaliana]			945010F05.Y1
945005D06.X3				945005D06.X3
945005F12.Y1				945005F12.Y1
945008G05.X3	Homolog PID: 9759236 contains similarity to elongin C... [Arabidopsis thaliana]	Homolog PID: 7302473 Elongin-C gene product [Drosophila melanogaster]		945008G05.X3
945008D11.X5				945008D11.X5
945010B01.X2	Homolog PID: 5031285 beta-amylase [Prunus armeniaca]	Homolog PID: 7688089 putative beta-amilase [Cicer arietinum]	Homolog PID: 6065749 beta-amylase enzyme [Arabidopsis thaliana]	945010B01.X2
945010E06.X1	Homolog PID: 3834324 Similar to gb|X92762 tafazzins p...			945010E06.X1
945005H06.X3	Homolog PID: 3258456 chitinase [Cucurbita sp]	Homolog PID: 1781042 chitinase [Medicago truncatula]	Homolog PID: 598347 chitinase class I [Pisum sativum]	945005H06.X3
945008B01.Y1	Homolog PID: 9294529 DNA-damage inducible protein DDI... [Arabidopsis thaliana]	Homolog PID: 7293232 CG4420 gene product [Drosophila melanogaster]	Homolog PID: 89	945008B01.Y1
945008B06.Y1				945008B06.Y1
945008D12.X5				945008D12.X5
945010G01.X2				945010G01.X2
945010B08.X2	Homolog PID: 1931647 endomembrane protein EMP70 precu... [Arabidopsis thaliana]	Homolog PID: 9755051 transmembrane protein TM9SF3 [Homo sapiens]	Homolog PID: 9755	945010B08.X2
945022C01.X2	Homolog PID: 11072018 F12A21.27 [Arabidopsis thaliana]	Homolog PID: 2829889 Hypothetical protein [Arabidopsis thaliana]	Homolog PID: 6382528 unknown protein [Arabidopsis thaliana]	945022C01.X2
945022H06.Y1	Homolog PID: 10178112 gb|AAF23201.1~gene_id:F15M7.9~st...	Homolog PID: 7258378 putative protein [Arabidopsis thaliana]	Homolog PID: 6671941 hypothetical protein [Arabidopsis thaliana	945022H06.Y1
945022D12.X2	Homolog PID: 6598559 putative prolylcarboxypeptidase [Arabidopsis thaliana]	Homolog PID: 10177334 lysosomal Pro-X carboxypeptidase [Arabidopsis thaliana]		945022D12.X2
945023H07.X2	Homolog PID: 6714290 F15H18.15 [Arabidopsis thaliana]	Homolog PID: 3417433 putative transcription factor [Schizosaccharomyces pomb]	Homolog PID: 2257568 basic transcription factor 2.35K.	945023H07.X2
945024D01.Y2	Homolog PID: 8493591 Contains similarity to a tetracy... [Arabidopsis thaliana]	Homolog PID: 7267881 putative protein [Arabidopsis thaliana]	Homolog PID: 5002516	945024D01.Y2
945024A08.Y2				945024A08.Y2
945022B02.X2				945022B02.X2
945022F07.Y1	Homolog PID: 483547 pyrophosphate-dependent phosphof... [Ricinus communis]	Homolog PID: 3790102 pyrophosphate-dependent phosphof...  Citrus [x paradisi]		945022F07.Y1
