^PLATFORM = GPL8
!Platform_title = Cerebellargenexp
!Platform_geo_accession = GPL8
!Platform_status = Public on Apr 18 2001
!Platform_submission_date = Apr 18 2001
!Platform_last_update_date = Mar 06 2006
!Platform_technology = spotted DNA/cDNA
!Platform_distribution = non-commercial
!Platform_organism = Mus musculus
!Platform_taxid = 10090
!Platform_description = The Affymetrix GeneChip Mu11K was used to analyze the gene expression profile in developing mouse cerebellum (two GeneChips per E18, P7, P14, P21, and P56) to assist in the understanding of the genetic basis of cerebellar development in mice.  The analysis showed 81.6% (10,321/12,654) of the genes represented on the GeneChip were expressed in the postnatal cerebellum, and among those, 8.7% (897/10,321) were differentially expressed with more than a two-fold change in their maximum and minimum expression levels during the developmental time course.  All of these 897 differentially expressed genes were listed in this platform.  The explanation of gene function classification is as follows:  CGDD (cellular growth, differentiation, and death), CLAM (carbohydrate, lipid, and amino acid metabolism), CSC (cell structure and communication), IMTN (intra/intercellular molecular transport and neurotransmission), NNM (nucleotide and nucleic acid metabolism), ST (signal transduction), and TTPM (transcription, translation, and protein modification).
!Platform_description = Keywords = cerebellum, postnatal development, high-density oligonucleotide array
!Platform_web_link = http://www.brain.riken.go.jp/labs/lmn
!Platform_contact_name = Yoshihiro,,Kagami
!Platform_contact_email = ykagami@brain.riken.go.jp
!Platform_contact_phone = +81-48-467-6079
!Platform_contact_fax = +81-48-467-6079
!Platform_contact_laboratory = Molecular Neurogenesis
!Platform_contact_department =  
!Platform_contact_institute = RIKEN Brain Science Institute
!Platform_contact_address = 2-1 Hirosawa
!Platform_contact_city = Wako-shi
!Platform_contact_state = Saitama
!Platform_contact_zip/postal_code = 351-0198
!Platform_contact_country = Japan
!Platform_contact_web_link = http://www.brain.riken.go.jp/labs/lmn
!Platform_sample_id = GSM50
!Platform_sample_id = GSM51
!Platform_sample_id = GSM52
!Platform_sample_id = GSM53
!Platform_sample_id = GSM54
!Platform_series_id = GSE2
!Platform_data_row_count = 897
#ID = 
#GB_ACC = GenBank accession number LINK_PRE:"http://www.ncbi.nlm.nih.gov/nuccore/?term="
#DESCRIPTION = Gene or EST description
#FUNCTION = Gene function classification
#SUBFUNCTION = More specified gene function classification
!platform_table_begin
ID	GB_ACC	DESCRIPTION	FUNCTION	SUBFUNCTION
356	AI851243	3' end /clone=UI-M-BH0-akf-b-01-0-UI	EST	
357	AI853294	3' end /clone=UI-M-BH0-ajl-f-03-0-UI	EST	
358	AI854156	3' end /clone=UI-M-BH0-ajw-h-06-0-UI	EST	
359	AI881987	3' end /clone=IMAGE-2123097	EST	
360	AW046460	3' end /clone=UI-M-BH1-akp-g-06-0-UI	EST	
361	AW049274	3' end /clone=UI-M-BH1-anb-d-07-0-UI	EST	
362	AW049647	3' end /clone=UI-M-BH1-and-g-07-0-UI	EST	
363	AW049961	3' end /clone=UI-M-BH1-ant-c-10-0-UI	EST	
364	AW123880	3' end /clone=UI-M-BH2.1-app-e-07-0-UI	EST	
365	AW123952	3' end /clone=UI-M-BH2.3-aqc-d-05-0-UI	EST	
366	AW125607	3' end /clone=UI-M-BH2.2-aqj-f-06-0-UI	EST	
367	C78859	3' end /clone=J0056E01	EST	
368	AA614914	5' end /clone=IMAGE-1051536	EST	
369	AA683785	5' end /clone=IMAGE-1110774	EST	
370	AI153412	5' end /clone=IMAGE-1429320	EST	
371	AI504474	3' end /clone=IMAGE-1052778	EST	
372	AI644158	3' end /clone=IMAGE-1247734	EST	
373	AI837021	3' end /clone=UI-M-AP0-abj-a-11-0-UI	EST	
374	AI837116	3' end /clone=UI-M-AK0-adc-e-09-0-UI	EST	
375	AI837724	3' end /clone=UI-M-AK0-adj-f-11-0-UI	EST	
376	AI837993	3' end /clone=UI-M-AP0-abl-d-01-0-UI	EST	
377	AI838229	3' end /clone=UI-M-AL0-abx-e-01-0-UI	EST	
378	AI839615	3' end /clone=UI-M-AN0-acr-h-02-0-UI	EST	
379	AI841270	3' end /clone=UI-M-AM0-adu-d-10-0-UI	EST	
380	AI841606	3' end /clone=UI-M-AP0-abn-h-07-0-UI	EST	
381	AI842472	3' end /clone=UI-M-AM1-afy-f-05-0-UI	EST	
382	AI843864	3' end /clone=UI-M-AK1-aeu-c-11-0-UI	EST	
383	AI843884	3' end /clone=UI-M-AK1-aeu-e-10-0-UI	EST	
384	AI844545	3' end /clone=UI-M-AJ1-ahf-h-03-0-UI	EST	
385	AI845337	3' end /clone=UI-M-BG0-ahx-b-12-0-UI	EST	
386	AI848518	3' end /clone=UI-M-AP1-agf-e-02-0-UI	EST	
387	AI850079	3' end /clone=UI-M-BG0-aia-f-01-0-UI	EST	
388	AI850941	3' end /clone=UI-M-BH0-akd-d-10-0-UI	EST	
389	AI851119	3' end /clone=UI-M-BH0-ajx-a-08-0-UI	EST	
390	AI852126	3' end /clone=UI-M-BH0-ajb-c-07-0-UI	EST	
391	AI852672	3' end /clone=UI-M-BH0-aji-b-09-0-UI	EST	
392	AI853531	3' end /clone=UI-M-BH0-ajd-f-01-0-UI	EST	
393	AI891514	3' end /clone=IMAGE-2123366	EST	
394	AW045204	3' end /clone=UI-M-BH1-alh-c-10-0-UI	EST	
395	AW045317	3' end /clone=UI-M-BH1-akn-g-06-0-UI	EST	
396	AW045753	3' end /clone=UI-M-BH1-akt-a-10-0-UI	EST	
397	AW048113	3' end /clone=UI-M-BH1-alq-d-12-0-UI	EST	
398	AW049387	3' end /clone=UI-M-BH1-ane-d-08-0-UI	EST	
399	AW049732	3' end /clone=UI-M-BH1-ani-g-05-0-UI	EST	
400	AW061337	3' end /clone=UI-M-BH1-anw-f-11-0-UI	EST	
401	AW122036	3' end /clone=UI-M-BH2.2-aoo-b-12-0-UI	EST	
402	AW122114	3' end /clone=UI-M-BH2.2-aor-a-11-0-UI	EST	
403	AW122115	3' end /clone=UI-M-BH2.2-aor-b-02-0-UI	EST	
404	AW122834	3' end /clone=UI-M-BH2.1-aoz-d-11-0-UI	EST	
405	AW122933	3' end /clone=UI-M-BH2.1-apa-h-09-0-UI	EST	
406	AW122995	3' end /clone=UI-M-BH2.1-apb-c-03-0-UI	EST	
407	AW123061	3' end /clone=UI-M-BH2.1-apc-a-11-0-UI	EST	
408	AW124196	3' end /clone=UI-M-BH2.1-aph-b-03-0-UI	EST	
409	AW124433	3' end /clone=UI-M-BH2.1-apo-b-10-0-UI	EST	
410	AW124489	3' end /clone=UI-M-BH2.1-apo-a-01-0-UI	EST	
411	AW124955	3' end /clone=UI-M-BH2.1-apv-a-10-0-UI	EST	
412	AW125016	3' end /clone=UI-M-BH2.1-apv-g-09-0-UI	EST	
413	AW125299	3' end /clone=UI-M-BH2.1-apy-c-05-0-UI	EST	
414	AW125314	3' end /clone=UI-M-BH2.1-apy-d-10-0-UI	EST	
415	AW125333	3' end /clone=UI-M-BH2.1-apy-f-04-0-UI	EST	
416	AW125478	3' end /clone=UI-M-BH2.2-aqm-c-03-0-UI	EST	
417	AA032310	5' end /clone=MTA.G11.085	EST	
418	AA165759	5' end /clone=IMAGE-615978	EST	
419	AA607053	5' end /clone=IMAGE-1006008	EST	
420	AA624336	5' end /clone=IMAGE-1006528	EST	
421	AA655311	5' end /clone=IMAGE-1109115	EST	
422	AA656775	5' end /clone=IMAGE-1124092	EST	
423	AA671429	5' end /clone=IMAGE-1038406	EST	
424	AA681998	5' end /clone=IMAGE-1123570	EST	
425	AA684508	5' end /clone=IMAGE-1110613	EST	
426	AA690061	5' end /clone=IMAGE-1134821	EST	
427	AA693246	5' end /clone=IMAGE-1124872	EST	
428	AA709672	5' end /clone=IMAGE-1165121	EST	
429	AA716963	5' end /clone=IMAGE-1196683	EST	
430	AA726364	5' end /clone=IMAGE-1209434	EST	
431	AA754865	5' end /clone=IMAGE-1194949	EST	
432	AA795062	5' end /clone=IMAGE-1137701	EST	
433	AA823653	5' end /clone=IMAGE-1125900	EST	
434	AA833425	5' end /clone=IMAGE-1381925	EST	
435	AA856349	5' end /clone=IMAGE-1263130	EST	
436	AA867026	5' end /clone=IMAGE-1265210	EST	
437	AA867646	5' end /clone=IMAGE-1264231	EST	
438	AA874329	5' end /clone=IMAGE-1281459	EST	
439	AA874589	5' end /clone=IMAGE-1281298	EST	
440	AA914350	5' end /clone=IMAGE-1313833	EST	
441	AA915720	5' end /clone=IMAGE-1328322	EST	
442	AA919208	5' end /clone=IMAGE-1298933	EST	
443	AA919594	5' end /clone=IMAGE-1316437	EST	
444	AA921069	5' end /clone=IMAGE-1312865	EST	
445	AA930526	5' end /clone=IMAGE-1052871	EST	
446	AA940430	5' end /clone=IMAGE-1329753	EST	
447	AA960259	3' end /clone=IMAGE-1382206	EST	
448	AA981725	5' end /clone=IMAGE-1348101	EST	
449	AI047617	5' end /clone=IMAGE-1750133	EST	
450	AI132380	3' end /clone=IMAGE-1481260	EST	
451	AI159572	5' end /clone=IMAGE-1332492	EST	
452	AI594427	5' end /clone=IMAGE-1051862	EST	
453	AI606257	3' end /clone=IMAGE-1040339	EST	
454	AI606915	3' end /clone=IMAGE-1245242	EST	
455	AI647003	3' end /clone=IMAGE-1382920	EST	
456	AI785289	3' end /clone=IMAGE-1922337	EST	
457	AI790103	5' end /clone=IMAGE-1495903	EST	
458	AI835858	3' end /clone=UI-M-AI0-aat-c-09-0-UI	EST	
459	AI836812	3' end /clone=UI-M-AJ0-abd-b-04-0-UI	EST	
460	AI837110	3' end /clone=UI-M-AK0-adc-e-02-0-UI	EST	
461	AI837415	3' end /clone=UI-M-AP0-abm-f-06-0-UI	EST	
462	AI838274	3' end /clone=UI-M-AO0-aby-a-05-0-UI	EST	
463	AI838366	3' end /clone=UI-M-AI0-aak-f-10-0-UI	EST	
464	AI838669	3' end /clone=UI-M-AO0-aca-e-04-0-UI	EST	
465	AI839005	3' end /clone=UI-M-AN0-acm-c-06-0-UI	EST	
466	AI839775	3' end /clone=UI-M-AN0-acq-f-06-0-UI	EST	
467	AI839895	3' end /clone=UI-M-AH0-acw-d-02-0-UI	EST	
468	AI840035	3' end /clone=UI-M-AH0-acu-g-12-0-UI	EST	
469	AI840191	3' end /clone=UI-M-AO0-acc-g-09-0-UI	EST	
470	AI840643	3' end /clone=UI-M-AM0-adq-g-08-0-UI	EST	
471	AI841137	3' end /clone=UI-M-AH0-acz-g-06-0-UI	EST	
472	AI841960	3' end /clone=UI-M-AH0-acu-c-10-0-UI	EST	
473	AI842771	3' end /clone=UI-M-AP1-agi-c-05-0-UI	EST	
474	AI843157	3' end /clone=UI-M-AK1-aet-a-08-0-UI	EST	
475	AI843210	3' end /clone=UI-M-AK1-aet-f-05-0-UI	EST	
476	AI843586	3' end /clone=UI-M-AO1-aeh-f-08-0-UI	EST	
477	AI843795	3' end /clone=UI-M-AN1-afc-e-05-0-UI	EST	
478	AI843895	3' end /clone=UI-M-AK1-aeu-f-09-0-UI	EST	
479	AI844440	3' end /clone=UI-M-AJ1-ahe-a-02-0-UI	EST	
480	AI844520	3' end /clone=UI-M-AJ1-ahf-a-08-0-UI	EST	
481	AI844979	3' end /clone=UI-M-BG0-ahu-c-07-0-UI	EST	
482	AI845283	3' end /clone=UI-M-BG0-ahw-d-12-0-UI	EST	
483	AI845584	3' end /clone=UI-M-AQ1-adx-c-06-0-UI	EST	
484	AI845934	3' end /clone=UI-M-AK1-aex-f-03-0-UI	EST	
485	AI845988	3' end /clone=UI-M-AP1-agl-d-01-0-UI	EST	
486	AI846302	3' end /clone=UI-M-AK1-aez-g-04-0-UI	EST	
487	AI846695	3' end /clone=UI-M-AN1-afi-f-06-0-UI	EST	
488	AI846906	3' end /clone=UI-M-AK1-aey-b-11-0-UI	EST	
489	AI847564	3' end /clone=UI-M-AM1-afv-g-08-0-UI	EST	
490	AI848479	3' end /clone=UI-M-AP1-agf-a-10-0-UI	EST	
491	AI848584	3' end /clone=UI-M-AM1-aga-d-04-0-UI	EST	
492	AI848723	3' end /clone=UI-M-AJ1-ahf-c-03-0-UI	EST	
493	AI848821	3' end /clone=UI-M-AJ1-ahb-a-11-0-UI	EST	
494	AI848968	3' end /clone=UI-M-AJ1-ahd-c-01-0-UI	EST	
495	AI849271	3' end /clone=UI-M-AJ1-agz-g-06-0-UI	EST	
496	AI849333	3' end /clone=UI-M-AJ1-aha-e-03-0-UI	EST	
497	AI849356	3' end /clone=UI-M-AJ1-aha-g-04-0-UI	EST	
498	AI849721	3' end /clone=UI-M-AL1-ahn-b-07-0-UI	EST	
499	AI849939	3' end /clone=UI-M-BG0-ahz-g-03-0-UI	EST	
500	AI850244	3' end /clone=UI-M-BG1-aie-f-02-0-UI	EST	
501	AI850362	3' end /clone=UI-M-BG1-aig-b-06-0-UI	EST	
502	AI850509	3' end /clone=UI-M-BG1-aih-h-10-0-UI	EST	
503	AI850675	3' end /clone=UI-M-BG1-ail-a-01-0-UI	EST	
504	AI850740	3' end /clone=UI-M-BG1-ail-g-10-0-UI	EST	
505	AI850887	3' end /clone=UI-M-BH0-ajt-g-01-0-UI	EST	
506	AI851309	3' end /clone=UI-M-BH0-akf-h-03-0-UI	EST	
507	AI851599	3' end /clone=UI-M-BH0-ain-a-02-0-UI	EST	
508	AI851762	3' end /clone=UI-M-BH0-aim-d-03-0-UI	EST	
509	AI852022	3' end /clone=UI-M-BH0-aiq-g-11-0-UI	EST	
510	AI852095	3' end /clone=UI-M-BH0-aja-h-02-0-UI	EST	
511	AI852144	3' end /clone=UI-M-BH0-ajb-e-09-0-UI	EST	
512	AI852765	3' end /clone=UI-M-BH0-aiy-c-05-0-UI	EST	
513	AI853173	3' end /clone=UI-M-BH0-ajh-b-07-0-UI	EST	
514	AI853431	3' end /clone=UI-M-BH0-ajy-c-06-0-UI	EST	
515	AI853875	3' end /clone=UI-M-BH0-ajr-g-11-0-UI	EST	
516	AI854006	3' end /clone=UI-M-BH0-aiv-h-10-0-UI	EST	
517	AI854262	3' end /clone=UI-M-BH0-ajs-b-11-0-UI	EST	
518	AI854285	3' end /clone=UI-M-BH0-ajs-e-02-0-UI	EST	
519	AI854432	3' end /clone=UI-M-BH0-ait-c-06-0-UI	EST	
520	AI854624	3' end /clone=UI-M-BH0-ake-e-06-0-UI	EST	
521	AV080357	cDNA /clone=2210413P17	EST	
522	AW046181	3' end /clone=UI-M-BH1-akw-d-06-0-UI	EST	
523	AW046194	3' end /clone=UI-M-BH1-akw-f-03-0-UI	EST	
524	AW046273	3' end /clone=UI-M-BH1-ala-f-05-0-UI	EST	
525	AW046443	3' end /clone=UI-M-BH1-akp-e-04-0-UI	EST	
526	AW047083	3' end /clone=UI-M-BH1-alr-f-05-0-UI	EST	
527	AW047276	3' end /clone=UI-M-BH1-amh-c-02-0-UI	EST	
528	AW047563	3' end /clone=UI-M-BH1-ama-h-01-0-UI	EST	
529	AW049122	3' end /clone=UI-M-BH1-amt-h-11-0-UI	EST	
530	AW049359	3' end /clone=UI-M-BH1-ane-a-09-0-UI	EST	
531	AW049497	3' end /clone=UI-M-BH1-anf-a-01-0-UI	EST	
532	AW049812	3' end /clone=UI-M-BH1-anm-h-04-0-UI	EST	
533	AW060597	3' end /clone=UI-M-BH1-anq-d-09-0-UI	EST	
534	AW061243	3' end /clone=UI-M-BH1-amj-c-11-0-UI	EST	
535	AW061324	3' end /clone=UI-M-BH1-anw-e-09-0-UI	EST	
536	AW061339	3' end /clone=UI-M-BH1-anw-g-01-0-UI	EST	
537	AW120557	3' end /clone=UI-M-BH1-ana-f-03-0-UI	EST	
538	AW121057	3' end /clone=UI-M-BH2.3-aof-d-08-0-UI	EST	
539	AW121406	3' end /clone=UI-M-BH2.2-aom-h-09-0-UI	EST	
540	AW121447	3' end /clone=UI-M-BH2.2-aon-d-07-0-UI	EST	
541	AW121594	3' end /clone=UI-M-BH2.2-aoq-b-01-0-UI	EST	
542	AW121992	3' end /clone=UI-M-BH2.3-aoj-f-11-0-UI	EST	
543	AW122030	3' end /clone=UI-M-BH2.2-aoo-b-05-0-UI	EST	
544	AW122230	3' end /clone=UI-M-BH2.2-aov-e-05-0-UI	EST	
545	AW122271	3' end /clone=UI-M-BH2.2-aov-h-12-0-UI	EST	
546	AW122347	3' end /clone=UI-M-BH2.2-aos-h-03-0-UI	EST	
547	AW122781	3' end /clone=UI-M-BH2.1-aoy-d-01-0-UI	EST	
548	AW123099	3' end /clone=UI-M-BH2.1-apc-e-04-0-UI	EST	
549	AW123142	3' end /clone=UI-M-BH2.1-apd-b-05-0-UI	EST	
550	AW123318	3' end /clone=UI-M-BH2.1-apf-b-03-0-UI	EST	
551	AW123697	3' end /clone=UI-M-BH2.1-apl-c-11-0-UI	EST	
552	AW123788	3' end /clone=UI-M-BH2.1-apm-d-07-0-UI	EST	
553	AW124268	3' end /clone=UI-M-BH2.1-aph-h-08-0-UI	EST	
554	AW124390	3' end /clone=UI-M-BH2.1-ape-c-03-0-UI	EST	
555	AW124778	3' end /clone=UI-M-BH2.1-aqa-g-10-0-UI	EST	
556	AW124785	3' end /clone=UI-M-BH2.1-aqa-h-06-0-UI	EST	
557	AW124859	3' end /clone=UI-M-BH2.1-apu-a-02-0-UI	EST	
558	AW125164	3' end /clone=UI-M-BH2.1-apz-e-09-0-UI	EST	
559	AW125432	3' end /clone=UI-M-BH2.3-aqh-g-02-0-UI	EST	
560	AW212243	3' end /clone=IMAGE-2649233	EST	
561	AW212495	3' end /clone=IMAGE-2649744	EST	
562	AW212532	3' end /clone=IMAGE-2598915	EST	
563	AW213883	3' end /clone=IMAGE-2645404	EST	
564	AW230977	5' end /clone=IMAGE-2647935	EST	
565	C77566	3' end /clone=J0033G09	EST	
566	L20942	Myelin oligodendrocyte glycoprotein	IMTN	myelination
567	M31811	Myelin-associated glycoprotein	IMTN	myelination
568	U19582	Oligodendrocyte specific protein	IMTN	myelination
569	U81317	Myelin-associated oligodendrocytic basic protein, MOBP	IMTN	myelination
570	D00073	Transthyretin	IMTN	other
571	D49382	Nedd5 for septin	IMTN	other
572	M16465	Calpactin I light chain	IMTN	other
573	U81829	Calumenin	IMTN	other
574	X60367	Retinol binding protein 1, cellular	IMTN	other
575	M83985	phosphoprotein (F1-20)	IMTN	other
576	X56518	Acetylcholinesterase	IMTN	other
577	Z49976	Glutamic acid decarboxylase 1, GAD1	IMTN	other
578	M55181	Preproenkephalin 2	IMTN	other
579	U13837	vacuolar adenosine triphosphatase subunit A	IMTN	other
580	U62021	Neuronal pentraxin 1	IMTN	other
581	X85124	pacsin	IMTN	other
582	L31397	Dynamin	IMTN	other
583	AJ250489	receptor activity modifying protein 1 (Ramp1)	IMTN	other
584	D55720	Karyopherin (importin) alpha 2	IMTN	other
585	U32329	Endothelin receptor type B	IMTN	other
586	U72059	chloride channel regulator Icln (Icln) pseudogene	IMTN	receptor/channel
587	AF028242	CGRP-receptor component protein	IMTN	receptor/channel
588	D13266	Glutamate receptor, ionotropic, delta 2	IMTN	receptor/channel
589	L35029	Glutamate receptor, ionotropic, NMDA2C (epsilon 3)	IMTN	receptor/channel
590	M60596	Murine GABA-A receptor delta-subunit	IMTN	receptor/channel
591	M62374	GABA-A receptor gamma-2 subunit	IMTN	receptor/channel
592	X61430	GABA-A receptor alpha 1 subunit	IMTN	receptor/channel
593	AF033003	K+ channel beta-1 subunit (KVB1)	IMTN	receptor/channel
594	L42339	sodium channel 3	IMTN	receptor/channel
595	L48687	Sodium channel, voltage-gated, type I, beta polypeptide	IMTN	receptor/channel
596	U09383	calcium-activated potassium channel	IMTN	receptor/channel
597	U11860	Potassium inwardly-rectifying channel, subfamily J, member 9	IMTN	receptor/channel
598	U51908	brain neurotensin receptor	IMTN	receptor/channel
599	X51986	Gamma-aminobutyric acid (GABA-A) receptor, subunit alpha 6	IMTN	receptor/channel
600	X57497	Glutamate receptor, ionotropic, AMPA1 (alpha 1)	IMTN	receptor/channel
601	X78667	Ryr2, ryanodine receptor type2	IMTN	receptor/channel
602	X81202	Glycine receptor, beta subunit	IMTN	receptor/channel
603	Y00305	Potassium voltage gated channel, shaker related subfamily, member 1	IMTN	receptor/channel
604	Z70023	Gap junction membrane channel protein beta 6	IMTN	receptor/channel
605	X15373	Inositol 1,4,5-triphosphate receptor 1	IMTN	receptor/channel
606	AF008914	somatostatin receptor type 2 (sst2)	IMTN	receptor/channel
607	M97516	alpha-2 adrenergic receptor	IMTN	receptor/channel
608	AF045692	Solute carrier family 16 (monocarboxylic acid transporters), member 2	IMTN	transporter
609	D12644	Kinesin heavy chain member 2	IMTN	transporter
610	AF004100	Zinc transporter 4	IMTN	transporter
611	D83262	Solute carrier family 1, member 2	IMTN	transporter
612	AF029982	sarco(endo)plasmic reticulum calcium ATPase (SERCA2)	IMTN	transporter
613	U49393	sarcoendoplasmic reticulum Ca2+ ATPase (SERCA3b)	IMTN	transporter
614	AJ001598	vesicular GABA and glycine transporter	IMTN	transporter
615	M22998	facilitated glucose transporter	IMTN	transporter
616	M73696	Glvr-1, type3 Na+ dependent phosphate cotransporter	IMTN	transporter
617	X75927	ATP-binding cassette 2	IMTN	transporter
618	D49544	kinesin KIFC1	IMTN	transporter
619	U48398	Aquaporin 4	IMTN	transporter
620	U75215	neutral amino acid transporter mASCT1	IMTN	transporter
621	AB026806	synaptotagmin IX	IMTN	vesicle
622	D12713	Secretory protein SEC23 related (S. cerevisiae)	IMTN	vesicle
623	D45208	HPC-1/syntaxin	IMTN	vesicle
624	AF007267	phosphomannomutase Sec53p homolog	IMTN	vesicle
625	D45858	synaptotagumin III	IMTN	vesicle
626	AB026808	synaptotagmin XI	IMTN	vesicle
627	U10120	N-ethylmaleimide sensitive fusion protein	IMTN	vesicle
628	U60150	Synaptobrevin 2	IMTN	vesicle
629	X72966	rab3A gene	IMTN	vesicle
630	M22012	Synaptosomal-associated protein, 25 kDa	IMTN	vesicle
631	U02982	Secretogranin III	IMTN	vesicle
632	AB032902	Sec61	IMTN	vesicle
633	U11027	Sec61 protein complex gamma subunit	IMTN	vesicle
634	AF022465	high mobility group protein homolog HMG4 (Hmg4)	NNM	
635	AF031486	spermidine aminopropyltransferase (Mspmsy)	NNM	
636	AF035263	BAF57	NNM	
637	J04627	NAD-dependent methylenetetrahydrofolate dehydrogenase- methenyltetrahydrofolate cyclohydrolase	NNM	
638	M32459	histone H3	NNM	
639	U12403	Csa-19	NNM	
640	U49350	CTP synthetase	NNM	
641	U53208	Zuotin related factor 1	NNM	
642	U85614	SRG3	NNM	
643	X56690	Chromobox homolog (Drosophila HP1 beta)	NNM	
644	X62154	Mini chromosome maintenance deficient (S. cerevisiae)	NNM	
645	X65553	poly(A) binding protein	NNM	
646	X68193	nucleoside diphoshate kinase B	NNM	
647	X94127	SRY-box containing gene 2	NNM	
648	X92352	Nucleosome assembly protein 1-like 2	NNM	
649	AF006602	histone deacetylase mHDA1	NNM	
650	D38046	typeII DNA topoisomerase beta isoform	NNM	
651	D86344	Topoisomerase-inhibitor suppressed	NNM	
652	U05252	nuclear matrix attachment DNA-binding protein SATB1	NNM	
653	AF009414	Sox11	NNM	
654	AF036008	DNA (cytosine-5)-methyltransferase (Dnmt1)	NNM	
655	AF041476	Baf53a	NNM	
656	AF069519	T-G mismatch-specific thymine-DNA glycosylase TDGb isoform	NNM	
657	D90374	APEX nuclease	NNM	
658	J04620	primase p49 subunit (priA)	NNM	
659	K02927	Ribonucleotide reductase M1	NNM	
660	L25125	RNA helicase and RNA-dependent ATPase from the DEAD box family	NNM	
661	L26320	Flap structure specific endonuclease 1	NNM	
662	M14223	ribonucleotide reductase M2 subunit	NNM	
663	U00431	HMG-1	NNM	
664	U19604	DNA ligase I, ATP-dependent	NNM	
665	U20892	Phosphoribosylglycinamide formyltransferase	NNM	
666	U70494	histone H2A.Z (H2A.Z)	NNM	
667	U79753	Emerin	NNM	
668	X12944	HMG-17 chromosomal protein	NNM	
669	X53476	High mobility group protein 14	NNM	
670	X60980	TK gene encoding thymidine kinase, exon 1 and 2, partial	NNM	
671	X67668	High mobility group protein 2	NNM	
672	X72711	Replication factor C, 140 kDa	NNM	
673	X91866	H3.3A variant histone	NNM	
674	Z35401	C3H gene for histone H2A.X	NNM	
675	Z49204	Nicotinamide nucleotide transhydrogenase	NNM	
676	AB016424	rbm3	NNM	
677	Y07688	NfiX1-protein	NNM	
678	X63039	RSP-1 for p33 protein	ST	
679	X80638	rhoC	ST	
680	AB028241	casein kinase	ST	
681	AF013490	protein-tyrosine phosphatase	ST	
682	AF023343	Phosphodiesterase 1B1, Ca2+-calmodulin dependent	ST	
683	AF082526	MEK binding partner 1 (Mp1)	ST	
684	L32752	(clone M2) GTPase (Ran)	ST	
685	M14044	calpactin I heavy chain (p36)	ST	
686	M63554	inhibitor protein of cAMP-dependent protein kinase	ST	
687	U05247	C-src tyrosine kinase	ST	
688	U08110	RAN GTPase activating protein 1	ST	
689	U16959	FK506 binding protein 5	ST	
690	U17961	p62	ST	
691	U29055	Guanine nucleotide binding protein, beta 1	ST	
692	U37465	Protein tyrosine phosphatase, receptor type	ST	
693	U38501	Guanine nucleotide binding protein, alpha inhibiting 1	ST	
694	U58888	SH3-containing protein SH3P2	ST	
695	U61362	groucho-related gene 1(Grg1)	ST	
696	U73198	Rho-GDI2 guanine nucleotide dissociation inhibitor	ST	
697	X56045	RAN binding protein 1	ST	
698	Z80112	lcr-1	ST	
699	M74227	cyclophilin C (cyp C)	ST	
700	U57747	platelet-activating factor acetylhydrolase isoform Ib beta subunit	ST	
701	D13903	Protein tyrosine phosphatase, receptor type, D	ST	
702	J05479	calcineurin catalytic subunit	ST	
703	M97590	tyrosine phosphatase (PTP-1), (EC2.7.1.112)	ST	
704	U58887	SH3 domain protein 2C	ST	
705	U96724	Putative phosphatase	ST	
706	AB000828	receptor tyrosine kinase	ST	
707	AB018194	BIT	ST	
708	AF085192	neural visinin-like protein 3 (NVP-3)	ST	
709	D21165	neural visinin-like Ca2+-binding protein type 1 (NVP-1)	ST	
710	L28035	Protein kinase C, gamma	ST	
711	M20473	Protein kinase, cAMP dependent regulatory, type I beta	ST	
712	U58886	endophilin I	ST	
713	X99921	S100 calcium-binding protein A13	ST	
714	AF050666	Glycosylphosphatidylinositol specific phospholipase D1	ST	
715	D86176	phosphatidylinositol 4-phosphate 5-kinase type I-alpha	ST	
716	L02241	protein kinase inhibitor (testicular isoform)	ST	
717	L22144	S100 protein, beta polypeptide, neural	ST	
718	L34290	guanine nucleotide regulatory protein	ST	
719	M94632	protein kinase C zeta	ST	
720	U05245	T-cell lymphoma invasion and metastasis 1	ST	
721	U60884	SH3P9	ST	
722	U71202	rin	ST	
723	X63615	Calcium/calmodulin-dependent protein kinase II, beta	ST	
724	Z50190	Adenylate cyclase 9	ST	
725	U40826	WW-domain binding protein 2	ST	
726	AB001927	ras-GTPase-activating protein SH3-domain binding protein	ST	
727	AB019373	ERK5	ST	
728	AF016482	rho7 (rho7)	ST	
729	M19380	Calmodulin 3	ST	
730	M60474	Myristoylated alanine rich protein kinase C substrate	ST	
731	M63658	G protein beta-subunit	ST	
732	U18773	GPI-anchored protein p137	ST	
733	U80932	Serine/threonine kinase 6	ST	
734	X61399	F52 for a novel protein	ST	
735	X58990	mCyP-S1 for cyclophilin CyP-S1	ST	
736	AB015598	mTim1, similar to Droshophila timeless	ST	
737	AB028920	AKAP95 for A kinase anchor protein 95	ST	
738	AB026569	MSSP	TTPM	other
739	AJ006587	translation initiation factor eIF2 gamma X	TTPM	other
740	U02098	Pur-alpha	TTPM	other
741	U77714	Survival motor neuron	TTPM	other
742	AF060490	TLS-associated protein TASR-2	TTPM	other
743	U11274	clone pmuAUF1-3 RNA-binding protein AUF1	TTPM	other
744	U14648	Splicing factor, arginine/serine-rich 10	TTPM	other
745	U29088	HU-antigen D, neuronal RNA-binding	TTPM	other
746	U37500	RNA polymerase II largest subunit (RPB1)	TTPM	other
747	U70736	Mov34 homolog	TTPM	other
